method,run,samples,area,mean_area
uniform_circle,78,40000,1.509535270049896,1.5203564859451861
uniform_circle,79,40000,1.4913140326590753,1.5203564859451861
uniform_circle,80,40000,1.5250861536851654,1.5203564859451861
uniform_circle,81,40000,1.5018383680486012,1.5203564859451861
uniform_circle,82,40000,1.5167609331531524,1.5203564859451861
uniform_circle,83,40000,1.5522609301387171,1.5203564859451861
uniform_circle,84,40000,1.5158184553570757,1.5203564859451861
uniform_circle,85,40000,1.502466686579319,1.5203564859451861
uniform_circle,86,40000,1.5056082792329086,1.5203564859451861
uniform_circle,87,40000,1.5269711092773193,1.5203564859451861
uniform_circle,88,40000,1.5451923466681403,1.5203564859451861
uniform_circle,89,40000,1.5045087218041522,1.5203564859451861
uniform_circle,90,40000,1.5103206682132935,1.5203564859451861
uniform_circle,91,40000,1.5001104920891266,1.5203564859451861
uniform_circle,92,40000,1.5436215503413453,1.5203564859451861
uniform_circle,93,40000,1.5151901368263576,1.5203564859451861
uniform_circle,94,40000,1.5230441184603323,1.5203564859451861
uniform_circle,95,40000,1.532311816788422,1.5203564859451861
uniform_circle,96,40000,1.502466686579319,1.5203564859451861
uniform_circle,97,40000,1.5120485441727678,1.5203564859451861
uniform_circle,98,40000,1.5469202226276146,1.5203564859451861
uniform_circle,99,40000,1.509221110784537,1.5203564859451861
uniform_circle,100,40000,1.5282277463387552,1.5203564859451861
latin_hypercube,1,40000,1.5252,1.5181280000000001
latin_hypercube,2,40000,1.5088,1.5181280000000001
latin_hypercube,3,40000,1.5176,1.5181280000000001
latin_hypercube,4,40000,1.5392,1.5181280000000001
latin_hypercube,5,40000,1.524,1.5181280000000001
latin_hypercube,6,40000,1.5076,1.5181280000000001
latin_hypercube,7,40000,1.5332,1.5181280000000001
latin_hypercube,8,40000,1.5264,1.5181280000000001
latin_hypercube,9,40000,1.5324,1.5181280000000001
latin_hypercube,10,40000,1.5224,1.5181280000000001
latin_hypercube,11,40000,1.5188,1.5181280000000001
latin_hypercube,12,40000,1.4812,1.5181280000000001
latin_hypercube,13,40000,1.5284,1.5181280000000001
latin_hypercube,14,40000,1.5412,1.5181280000000001
latin_hypercube,15,40000,1.5004,1.5181280000000001
latin_hypercube,16,40000,1.5292,1.5181280000000001
latin_hypercube,17,40000,1.5416,1.5181280000000001
latin_hypercube,18,40000,1.5144,1.5181280000000001
latin_hypercube,19,40000,1.5124,1.5181280000000001
latin_hypercube,20,40000,1.5208,1.5181280000000001
latin_hypercube,21,40000,1.492,1.5181280000000001
latin_hypercube,22,40000,1.5324,1.5181280000000001
latin_hypercube,23,40000,1.5396,1.5181280000000001
latin_hypercube,24,40000,1.5228,1.5181280000000001
latin_hypercube,25,40000,1.506,1.5181280000000001
latin_hypercube,26,40000,1.536,1.5181280000000001
latin_hypercube,27,40000,1.5308,1.5181280000000001
latin_hypercube,28,40000,1.5124,1.5181280000000001
latin_hypercube,29,40000,1.5168,1.5181280000000001
latin_hypercube,30,40000,1.518,1.5181280000000001
latin_hypercube,31,40000,1.5064,1.5181280000000001
latin_hypercube,32,40000,1.5572,1.5181280000000001
latin_hypercube,33,40000,1.54,1.5181280000000001
latin_hypercube,34,40000,1.536,1.5181280000000001
latin_hypercube,35,40000,1.532,1.5181280000000001
latin_hypercube,36,40000,1.4976,1.5181280000000001
latin_hypercube,37,40000,1.5508,1.5181280000000001
latin_hypercube,38,40000,1.5388,1.5181280000000001
latin_hypercube,39,40000,1.5512,1.5181280000000001
latin_hypercube,40,40000,1.5028,1.5181280000000001
latin_hypercube,41,40000,1.5228,1.5181280000000001
latin_hypercube,42,40000,1.5284,1.5181280000000001
latin_hypercube,43,40000,1.5008,1.5181280000000001
latin_hypercube,44,40000,1.526,1.5181280000000001
latin_hypercube,45,40000,1.5284,1.5181280000000001
latin_hypercube,46,40000,1.516,1.5181280000000001
latin_hypercube,47,40000,1.53,1.5181280000000001
latin_hypercube,48,40000,1.5252,1.5181280000000001
latin_hypercube,49,40000,1.52,1.5181280000000001
latin_hypercube,50,40000,1.4964,1.5181280000000001
latin_hypercube,51,40000,1.5108,1.5181280000000001
latin_hypercube,52,40000,1.5036,1.5181280000000001
latin_hypercube,53,40000,1.5088,1.5181280000000001
latin_hypercube,54,40000,1.494,1.5181280000000001
latin_hypercube,55,40000,1.5292,1.5181280000000001
latin_hypercube,56,40000,1.5112,1.5181280000000001
latin_hypercube,57,40000,1.5,1.5181280000000001
latin_hypercube,58,40000,1.5268,1.5181280000000001
