method,sample_size,run,area
uniform_circle,10000,67,1.5437786299740248
uniform_circle,10000,68,1.494769784578024
uniform_circle,10000,69,1.555088363526948
uniform_circle,10000,70,1.509849429315255
uniform_circle,10000,71,1.5305839408289477
uniform_circle,10000,72,1.49288482898587
uniform_circle,10000,73,1.5048228810695112
uniform_circle,10000,74,1.4840883695558187
uniform_circle,10000,75,1.5142476590302807
uniform_circle,10000,76,1.5362388076054092
uniform_circle,10000,77,1.5035662440080755
uniform_circle,10000,78,1.4991680142930497
uniform_circle,10000,79,1.5180175702145886
uniform_circle,10000,80,1.5085927922538191
uniform_circle,10000,81,1.4840883695558187
uniform_circle,10000,82,1.512991021968845
uniform_circle,10000,83,1.5299556222982298
uniform_circle,10000,84,1.5192742072760244
uniform_circle,10000,85,1.5280706667060757
uniform_circle,10000,86,1.5173892516838705
uniform_circle,10000,87,1.5004246513544857
uniform_circle,10000,88,1.4991680142930497
uniform_circle,10000,89,1.475291910125767
uniform_circle,10000,90,1.5167609331531524
uniform_circle,10000,91,1.521787481398896
uniform_circle,10000,92,1.506707836661665
uniform_circle,10000,93,1.4960264216394599
uniform_circle,10000,94,1.4866016436786906
uniform_circle,10000,95,1.495398103108742
uniform_circle,10000,96,1.5538317264655122
uniform_circle,10000,97,1.5048228810695112
uniform_circle,10000,98,1.5588582747112558
uniform_circle,10000,99,1.4734069545336133
uniform_circle,10000,100,1.539380400258999
latin_hypercube,10000,1,1.5312
latin_hypercube,10000,2,1.4816
latin_hypercube,10000,3,1.5504
latin_hypercube,10000,4,1.5248
latin_hypercube,10000,5,1.568
latin_hypercube,10000,6,1.4928
latin_hypercube,10000,7,1.5232
latin_hypercube,10000,8,1.5472
latin_hypercube,10000,9,1.5088
latin_hypercube,10000,10,1.4816
latin_hypercube,10000,11,1.4944
latin_hypercube,10000,12,1.4944
latin_hypercube,10000,13,1.528
latin_hypercube,10000,14,1.4976
latin_hypercube,10000,15,1.4784
latin_hypercube,10000,16,1.5312
latin_hypercube,10000,17,1.5136
latin_hypercube,10000,18,1.5376
latin_hypercube,10000,19,1.5504
latin_hypercube,10000,20,1.5264
latin_hypercube,10000,21,1.4672
latin_hypercube,10000,22,1.4912
latin_hypercube,10000,23,1.5184
latin_hypercube,10000,24,1.472
latin_hypercube,10000,25,1.5072
latin_hypercube,10000,26,1.6096
latin_hypercube,10000,27,1.5264
latin_hypercube,10000,28,1.52
latin_hypercube,10000,29,1.5024
latin_hypercube,10000,30,1.5408
latin_hypercube,10000,31,1.5072
latin_hypercube,10000,32,1.5744
latin_hypercube,10000,33,1.5168
latin_hypercube,10000,34,1.5328
latin_hypercube,10000,35,1.4768
latin_hypercube,10000,36,1.4784
latin_hypercube,10000,37,1.5024
latin_hypercube,10000,38,1.4576
latin_hypercube,10000,39,1.5552
latin_hypercube,10000,40,1.5296
latin_hypercube,10000,41,1.5488
latin_hypercube,10000,42,1.5296
latin_hypercube,10000,43,1.5296
latin_hypercube,10000,44,1.5296
latin_hypercube,10000,45,1.568
latin_hypercube,10000,46,1.496
latin_hypercube,10000,47,1.5104
latin_hypercube,10000,48,1.5392
latin_hypercube,10000,49,1.4912
latin_hypercube,10000,50,1.5024
latin_hypercube,10000,51,1.5264
latin_hypercube,10000,52,1.4448
latin_hypercube,10000,53,1.5392
latin_hypercube,10000,54,1.5088
latin_hypercube,10000,55,1.4928
latin_hypercube,10000,56,1.4576
latin_hypercube,10000,57,1.5568
latin_hypercube,10000,58,1.5632
latin_hypercube,10000,59,1.504
latin_hypercube,10000,60,1.56
latin_hypercube,10000,61,1.4784
latin_hypercube,10000,62,1.4928
latin_hypercube,10000,63,1.5536
latin_hypercube,10000,64,1.4832
latin_hypercube,10000,65,1.5136
latin_hypercube,10000,66,1.4912
latin_hypercube,10000,67,1.4592
latin_hypercube,10000,68,1.464
latin_hypercube,10000,69,1.4928
latin_hypercube,10000,70,1.4944
latin_hypercube,10000,71,1.5184
latin_hypercube,10000,72,1.5392
latin_hypercube,10000,73,1.5296
latin_hypercube,10000,74,1.5328
latin_hypercube,10000,75,1.5232
latin_hypercube,10000,76,1.4864
latin_hypercube,10000,77,1.4784
latin_hypercube,10000,78,1.552
latin_hypercube,10000,79,1.5472
latin_hypercube,10000,80,1.504
latin_hypercube,10000,81,1.4896
latin_hypercube,10000,82,1.4688
latin_hypercube,10000,83,1.5424
latin_hypercube,10000,84,1.4816
latin_hypercube,10000,85,1.5728
latin_hypercube,10000,86,1.5056
latin_hypercube,10000,87,1.4992
latin_hypercube,10000,88,1.5312
latin_hypercube,10000,89,1.4704
latin_hypercube,10000,90,1.5136
latin_hypercube,10000,91,1.4448
latin_hypercube,10000,92,1.5136
latin_hypercube,10000,93,1.5152
latin_hypercube,10000,94,1.5232
latin_hypercube,10000,95,1.552
latin_hypercube,10000,96,1.5008
latin_hypercube,10000,97,1.5168
latin_hypercube,10000,98,1.4848
latin_hypercube,10000,99,1.4512
latin_hypercube,10000,100,1.5008
orthogonal,10000,1,1.5056
orthogonal,10000,2,1.512
orthogonal,10000,3,1.5216
orthogonal,10000,4,1.4976
orthogonal,10000,5,1.5104
orthogonal,10000,6,1.5008
orthogonal,10000,7,1.5008
orthogonal,10000,8,1.504
orthogonal,10000,9,1.5232
orthogonal,10000,10,1.5184
orthogonal,10000,11,1.504
orthogonal,10000,12,1.5024
orthogonal,10000,13,1.5168
orthogonal,10000,14,1.5072
orthogonal,10000,15,1.5136
orthogonal,10000,16,1.4992
orthogonal,10000,17,1.5168
orthogonal,10000,18,1.52
orthogonal,10000,19,1.52
orthogonal,10000,20,1.5024
orthogonal,10000,21,1.5104
orthogonal,10000,22,1.5136
orthogonal,10000,23,1.5136
orthogonal,10000,24,1.5184
orthogonal,10000,25,1.5072
orthogonal,10000,26,1.512
orthogonal,10000,27,1.5024
orthogonal,10000,28,1.5248
orthogonal,10000,29,1.5024
orthogonal,10000,30,1.5056
orthogonal,10000,31,1.5024
orthogonal,10000,32,1.5296
orthogonal,10000,33,1.512
orthogonal,10000,34,1.5072
orthogonal,10000,35,1.5024
orthogonal,10000,36,1.5008
orthogonal,10000,37,1.4944
orthogonal,10000,38,1.5056
orthogonal,10000,39,1.5152
orthogonal,10000,40,1.5008
orthogonal,10000,41,1.5152
orthogonal,10000,42,1.4928
orthogonal,10000,43,1.4848
orthogonal,10000,44,1.512
orthogonal,10000,45,1.5104
orthogonal,10000,46,1.496
orthogonal,10000,47,1.504
orthogonal,10000,48,1.5152
orthogonal,10000,49,1.52
orthogonal,10000,50,1.4992
orthogonal,10000,51,1.4976
orthogonal,10000,52,1.4896
orthogonal,10000,53,1.5088
orthogonal,10000,54,1.4928
orthogonal,10000,55,1.5104
orthogonal,10000,56,1.5248
orthogonal,10000,57,1.5008
orthogonal,10000,58,1.5056
orthogonal,10000,59,1.5184
orthogonal,10000,60,1.5216
orthogonal,10000,61,1.52
orthogonal,10000,62,1.5088
orthogonal,10000,63,1.4976
orthogonal,10000,64,1.5136
orthogonal,10000,65,1.5136
orthogonal,10000,66,1.5152
orthogonal,10000,67,1.504
orthogonal,10000,68,1.5072
orthogonal,10000,69,1.5088
orthogonal,10000,70,1.5056
orthogonal,10000,71,1.5184
orthogonal,10000,72,1.52
orthogonal,10000,73,1.4944
orthogonal,10000,74,1.5008
orthogonal,10000,75,1.4976
orthogonal,10000,76,1.5232
orthogonal,10000,77,1.5104
orthogonal,10000,78,1.5136
orthogonal,10000,79,1.5088
orthogonal,10000,80,1.4944
orthogonal,10000,81,1.5152
orthogonal,10000,82,1.5072
orthogonal,10000,83,1.5248
orthogonal,10000,84,1.496
orthogonal,10000,85,1.52
orthogonal,10000,86,1.504
orthogonal,10000,87,1.5104
